system:index,Delta_BSI,Delta_MNDWI,Delta_NDBI,Delta_NDVI,Delta_NDWI,.geo
922,0.08718682215268075,0.02726344928505653,0.07485714429218532,-0.06797323270414712,0.06336993987083728,"{""type"":""MultiPoint"",""coordinates"":[]}"
928,-0.09656912974821893,-0.1254990200218158,-0.050114946792526704,0.13319221116975022,-0.11097901546399036,"{""type"":""MultiPoint"",""coordinates"":[]}"
929,-0.0658519179657554,-0.07388399884001567,-0.04611542101242261,0.05648456578932737,-0.07292542102230681,"{""type"":""MultiPoint"",""coordinates"":[]}"
931,0.004575143095433776,0.015243667141194406,-0.008013074570418277,-0.02212245916605804,0.0045062741659832595,"{""type"":""MultiPoint"",""coordinates"":[]}"
933,-0.13258869416635194,0.03167582304924055,-0.10433969914727875,0.09359166244901973,-0.04675399342761766,"{""type"":""MultiPoint"",""coordinates"":[]}"
944,0.08103119978736445,-0.03290733293554293,0.07133066463471688,-0.06695316220230108,0.01988066157116075,"{""type"":""MultiPoint"",""coordinates"":[]}"
963,0.01274321213079943,0.025970448636163712,0.0026149895420146674,-0.0377502339837239,0.01775512715639127,"{""type"":""MultiPoint"",""coordinates"":[]}"
972,0.026732411647323595,0.031197762366897808,0.009636527919851479,-0.03921855109921413,0.02611125630335598,"{""type"":""MultiPoint"",""coordinates"":[]}"
991,-0.10266909677090247,-0.05770250778270014,-0.048738673475117344,0.09758618721726342,-0.06249070223012265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,-0.01684616172147896,-0.0881976288747035,0.01768536284055139,0.055626196707799336,-0.046297855896997975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,0.024847222713083067,-0.05052211264060047,0.03079776937350215,-0.012433520503103979,-0.016022419553234357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,-0.04294590403096982,-0.01632871344887077,-0.02277710579140857,0.026645956746705335,-0.024471040585180792,"{""type"":""MultiPoint"",""coordinates"":[]}"
1137,-0.004125506267770557,-0.12279815300663666,0.03358380189799037,0.07717825154442248,-0.06648024943853847,"{""type"":""MultiPoint"",""coordinates"":[]}"
1154,-0.15044293951859533,-0.15342665496269609,-0.10010638205906486,0.1515757119097345,-0.1512243630893415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1161,-0.06473780233461784,-0.08899062039595179,-0.024374926951418685,0.08991026749649711,-0.06991343626842006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1179,0.05149562130396604,-0.04455088613021868,0.05853876801217034,-0.03186563131728448,0.00530407396803001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1182,-0.07425265221648458,-0.015155271117494484,-0.03312609392722976,0.08712411068256243,-0.030757264763411563,"{""type"":""MultiPoint"",""coordinates"":[]}"
1184,-0.24749628897352174,-0.4348993099075989,-0.07575744890036512,0.4244439657032619,-0.34577973391087496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1197,-0.0837681551504682,-0.05577412639675461,-0.05975942593561023,0.06814902468433093,-0.06372951016669204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1205,-0.008919549556698325,0.004753720799819394,-0.013681819867635225,0.005451429029853849,-0.005744569740143812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1210,0.04262091968232794,0.002690534880427642,0.014663372251905948,-0.03221677449934679,0.01454906245926707,"{""type"":""MultiPoint"",""coordinates"":[]}"
1215,0.01983867060808897,0.05002189564302684,1.3754324743514568E-4,-0.04825744263542586,0.03163479666480573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1217,0.0017940020081226304,-0.08480632909434727,0.019909577230781572,0.036529971442025966,-0.04179847476374532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1222,-0.2792579106755606,-0.4992169399745821,-0.06818373535027472,0.5605275652546274,-0.41434046426755144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1255,-0.015708103837002996,0.020671248942147058,-0.022147995766287842,-0.013286035100955829,-0.0011994869269006392,"{""type"":""MultiPoint"",""coordinates"":[]}"
1275,-0.05538746054587973,-0.07727093222499071,-0.01280901596934042,0.07729653530013414,-0.05400096882654659,"{""type"":""MultiPoint"",""coordinates"":[]}"
1289,0.01655643145827268,-0.08786924682277802,0.02357690661387929,0.005757355934579378,-0.03821491993238291,"{""type"":""MultiPoint"",""coordinates"":[]}"
1307,0.1820711227643488,-0.06748799362798724,0.18501705648057407,-0.10346435132201437,0.060743497858229745,"{""type"":""MultiPoint"",""coordinates"":[]}"
1312,0.08472323574719309,0.061452924674256615,0.06035073982563566,-0.10337128014286945,0.0777039438084085,"{""type"":""MultiPoint"",""coordinates"":[]}"
1327,-0.29176768311643997,-0.25323391011204366,-0.18503879098720905,0.3629792886805274,-0.2895125062374391,"{""type"":""MultiPoint"",""coordinates"":[]}"
1356,-0.23436858150849585,-0.2827582712767487,-0.14002716304947505,0.2892336084841933,-0.2700181461110649,"{""type"":""MultiPoint"",""coordinates"":[]}"
1376,0.07557770167515546,-0.06314830715405595,0.09078270661749599,-0.027215042332776718,0.015052987918370953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1390,-0.12956851552519028,-0.06262052216218911,-0.07909908864763954,0.14940336165831858,-0.09394993995129797,"{""type"":""MultiPoint"",""coordinates"":[]}"
1423,0.11727374201557825,-0.06857573566494768,0.12377001775739263,-0.060063434583625064,0.027368275686775023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1445,-0.07442791279591837,-0.06878729409400447,-0.04507925658361078,0.08257853372233881,-0.07185643986830537,"{""type"":""MultiPoint"",""coordinates"":[]}"
1481,0.07464955141928754,-0.08762942873503415,0.0885300649894155,-0.0189985667320966,-0.0044446843152583515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1512,0.057868115212032584,-0.01779520333695289,0.053491837398700615,-0.05996930570664849,0.020696443170031498,"{""type"":""MultiPoint"",""coordinates"":[]}"
1516,-0.0554123070887399,0.027180191145550592,-0.05581920844933491,0.01389232006580865,-0.017379822580680937,"{""type"":""MultiPoint"",""coordinates"":[]}"
1518,-0.018988672795199113,-0.027838429835186196,-0.016139436408991348,0.015326721196873394,-0.02813844928858167,"{""type"":""MultiPoint"",""coordinates"":[]}"
1520,-0.04983807093145848,-0.15332379542125002,-0.004652432428567499,0.08992632330916861,-0.09708682324608908,"{""type"":""MultiPoint"",""coordinates"":[]}"
1530,0.21354589456323483,0.0021568296847551127,0.20791242200583432,-0.2154301627404942,0.15304500425515244,"{""type"":""MultiPoint"",""coordinates"":[]}"
